Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.6369,Mon Jun 11 00:22:15 +0000 2018,0.0,0.588,@CBS,0.412,RT @misschae: I love theatre so much. #TonyAwards,82
0.0,Mon Jun 11 00:18:16 +0000 2018,0.0,1.0,@CBS,0.0,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,83
0.6369,Mon Jun 11 00:13:27 +0000 2018,0.0,0.756,@CBS,0.244,"RT @MichaelJMoritz: ""We are all made perfectly and we all belong” - Andrew Garfield #TonyAwards",84
0.8834,Mon Jun 11 00:12:31 +0000 2018,0.0,0.437,@CBS,0.563,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,85
0.6696,Mon Jun 11 00:06:39 +0000 2018,0.0,0.64,@CBS,0.36,"RT @nightingalen: Love this opening song! @joshgroban
@SaraBarreilles 
#TonyAwards",86
0.3182,Mon Jun 11 00:04:15 +0000 2018,0.0,0.85,@CBS,0.15,✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,87
0.0,Sun Jun 10 23:59:00 +0000 2018,0.0,1.0,@CBS,0.0,Grab your popcorn... it's time for the #TonyAwards! Go and stream the entire show now: https://t.co/Wo1algQHix https://t.co/JGYTk4NPDN,88
0.4374,Sun Jun 10 23:18:15 +0000 2018,0.0,0.855,@CBS,0.145,✨ @thegoodfight's Christine Baranski has arrived on the #TonyAwards red carpet! Watch LIVE at 8/7c on CBS! https://t.co/XnXAnPtRrc,89
0.0,Sun Jun 10 22:01:25 +0000 2018,0.0,1.0,@CBS,0.0,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",90
0.4184,Sun Jun 10 15:00:01 +0000 2018,0.0,0.843,@CBS,0.157,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,91
0.68,Sat Jun 09 21:00:02 +0000 2018,0.0,0.763,@CBS,0.237,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,92
0.0,Sat Jun 09 16:00:00 +0000 2018,0.0,1.0,@CBS,0.0,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,93
0.296,Fri Jun 08 19:46:17 +0000 2018,0.0,0.82,@CBS,0.18,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,94
0.0,Fri Jun 08 15:00:03 +0000 2018,0.0,1.0,@CBS,0.0,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,95
0.9078,Fri Jun 08 13:58:15 +0000 2018,0.0,0.564,@CBS,0.436,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",96
0.3612,Thu Jun 07 17:03:26 +0000 2018,0.0,0.872,@CBS,0.128,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",97
0.2732,Wed Jun 06 21:00:24 +0000 2018,0.105,0.719,@CBS,0.176,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,98
0.3595,Wed Jun 06 00:08:30 +0000 2018,0.0,0.872,@CBS,0.128,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",99
-0.4404,Tue Jun 05 22:23:35 +0000 2018,0.177,0.723,@CBS,0.1,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",100
0.0,Sat Jul 14 05:31:00 +0000 2018,0.0,1.0,@CNN,0.0,"A particle called a neutrino was detected on Earth, found by sensors deep in the Antarctic ice, and traced to its s… https://t.co/2hYUZxCN18",1
0.4005,Sat Jul 14 05:16:04 +0000 2018,0.072,0.77,@CNN,0.159,Donald Trump says he's more popular than Abraham Lincoln. That's a hard claim to back up. https://t.co/OuPCv74UuU https://t.co/8Vq521unnS,2
-0.5574,Sat Jul 14 05:05:03 +0000 2018,0.159,0.841,@CNN,0.0,"Nancy Sinatra, the first wife of singer Frank Sinatra, died Friday at the age of 101, her daughter said https://t.co/Vrg3IJD89f",3
-0.5423,Sat Jul 14 05:01:07 +0000 2018,0.211,0.717,@CNN,0.072,A Florida man had a heart attack while laying sod in his front yard to avoid getting a fine from his homeowner's as… https://t.co/kR8NfiUSis,4
0.4019,Sat Jul 14 04:46:08 +0000 2018,0.0,0.87,@CNN,0.13,A jury has awarded $4.62 billion to 22 women who sued pharmaceutical giant Johnson &amp; Johnson alleging their ovarian… https://t.co/rQDYbNWZTD,5
0.1779,Sat Jul 14 04:31:00 +0000 2018,0.0,0.928,@CNN,0.072,These giant avocados are growing in Australia. Some have been known to weigh up to four pounds and are about five t… https://t.co/cgXFVEx1o5,6
0.0,Sat Jul 14 04:16:05 +0000 2018,0.0,1.0,@CNN,0.0,President Trump and Katy Perry are among the Twitter users hit hardest by the follower purge https://t.co/4V3kmwmrhL https://t.co/Uak1BlooYe,7
0.0,Sat Jul 14 04:01:08 +0000 2018,0.0,1.0,@CNN,0.0,"A rare flood of desert rain has transformed a lake in Australia from an arid, salty basin to a spectacular, watery… https://t.co/HCBw2jd5h8",8
0.5574,Sat Jul 14 03:44:09 +0000 2018,0.0,0.841,@CNN,0.159,"Is there such a thing as going too far for a laugh? #HistoryOfComedy is back, and pushing boundaries further than e… https://t.co/TFgGf1hYqY",9
